Rank,City,State,Population [2],Region (2016) [3],
1,New York,New York,"7,781,984",Northeast,
2,Chicago,Illinois,"3,550,404",Midwest,
3,Los Angeles,California,"2,479,015",West,
4,Philadelphia,Pennsylvania,"2,002,512",Northeast,
5,Detroit,Michigan,"1,670,144",Midwest,
6,Baltimore,Maryland,"939,024",South,
7,Houston,Texas,"938,219",South,
8,Cleveland,Ohio,"876,050",Midwest,
9,Washington,District of Columbia,"763,956",South,
10,St. Louis,Missouri,"750,026",Midwest,
11,Milwaukee,Wisconsin,"741,324",Midwest,
12,San Francisco,California,"740,316",West,
13,Boston,Massachusetts,"697,197",Northeast,
14,Dallas,Texas,"679,684",South,
15,New Orleans,Louisiana,"627,525",South,
16,Pittsburgh,Pennsylvania,"604,332",Northeast,
17,San Antonio,Texas,"587,718",South,
18,San Diego,California,"573,224",West,
19,Seattle,Washington,"557,087",West,
20,Buffalo,New York,"532,759",Northeast,
21,Cincinnati,Ohio,"502,550",Midwest,
22,Memphis,Tennessee,"497,524",South,
23,Denver,Colorado,"493,887",West,
24,Atlanta,Georgia,"487,455",South,
25,Minneapolis,Minnesota,"482,872",Midwest,
26,Indianapolis,Indiana,"476,258",Midwest,
27,Kansas City,Missouri,"475,539",Midwest,
28,Columbus,Ohio,"471,316",Midwest,
29,Phoenix,Arizona,"439,170",West,
30,Newark,New Jersey,"405,220",Northeast,
31,Louisville,Kentucky,"390,639",South,
32,Portland,Oregon,"372,676",West,
33,Oakland,California,"367,548",West,
34,Fort Worth,Texas,"356,268",South,
35,Long Beach,California,"344,168",West,
36,Birmingham,Alabama,"340,887",South,
37,Oklahoma City,Oklahoma,"324,253",South,
38,Rochester,New York,"318,611",Northeast,
39,Toledo,Ohio,"318,003",Midwest,
40,Saint Paul,Minnesota,"313,411",Midwest,
41,Norfolk,Virginia,"305,872",South,
42,Omaha,Nebraska,"301,598",Midwest,
43,Honolulu,Hawaii,"294,194",West,
44,Miami,Florida,"291,688",South,
45,Akron,Ohio,"290,351",Midwest,
46,El Paso,Texas,"276,687",South,
47,Jersey City,New Jersey,"276,101",Northeast,
48,Tampa,Florida,"274,970",South,
49,Dayton,Ohio,"262,332",Midwest,
50,Tulsa,Oklahoma,"261,685",South,
51,Wichita,Kansas,"254,698",Midwest,
52,Richmond,Virginia,"219,958",South,
53,Syracuse,New York,"216,038",Northeast,
54,Tucson,Arizona,"212,892",West,
55,Des Moines,Iowa,"208,982",Midwest,
56,Providence,Rhode Island,"207,498",Northeast,
57,San Jose,California,"204,196",West,
58,Mobile,Alabama,"202,779",South,
59,Charlotte,North Carolina,"201,564",South,
60,Albuquerque,New Mexico,"201,189",West,
61,Jacksonville,Florida,"201,030",South,
62,Flint,Michigan,"196,940",Midwest,
63,Sacramento,California,"191,667",West,
64,Yonkers,New York,"190,634",Northeast,
65,Salt Lake City,Utah,"189,454",West,
66,Worcester,Massachusetts,"186,587",Northeast,
67,Austin,Texas,"186,545",South,
68,Spokane,Washington,"181,608",West,
69,St. Petersburg,Florida,"181,298",South,
70,Gary,Indiana,"178,320",Midwest,
71,Grand Rapids,Michigan,"177,313",Midwest,
72,Springfield,Massachusetts,"174,463",Northeast,
73,Nashville,Tennessee,"170,874",South,
74,Corpus Christi,Texas,"167,690",South,
75,Youngstown,Ohio,"166,689",Midwest,
76,Shreveport,Louisiana,"164,372",South,
77,Arlington,Virginia,"163,401",South,
78,Hartford,Connecticut,"162,178",Northeast,
79,Fort Wayne,Indiana,"161,776",Midwest,
80,Bridgeport,Connecticut,"156,748",Northeast,
81,Baton Rouge,Louisiana,"152,419",South,
82,New Haven,Connecticut,"152,048",Northeast,
83,Savannah,Georgia,"149,245",South,
84,Tacoma,Washington,"147,979",West,
85,Jackson,Mississippi,"144,422",South,
86,Paterson,New Jersey,"143,663",Northeast,
87,Evansville,Indiana,"141,543",Midwest,
88,Erie,Pennsylvania,"138,440",Northeast,
89,Amarillo,Texas,"137,969",South,
90,Montgomery,Alabama,"134,393",South,
91,Fresno,California,"133,929",West,
92,South Bend,Indiana,"132,445",Midwest,
93,Chattanooga,Tennessee,"130,009",South,
94,Albany,New York,"129,726",Northeast,
95,Lubbock,Texas,"128,691",South,
96,Lincoln,Nebraska,"128,521",Midwest,
97,Madison,Wisconsin,"126,706",Midwest,
97,Rockford,Illinois,"126,706",Midwest,
99,Kansas City,Kansas,"121,901",Midwest,
100,Greensboro,North Carolina,"119,574",South,
