Rank,City,State,Population [5],Region (2016) [6],
1,New York,New York,"7,071,639",Northeast,
2,Chicago,Illinois,"3,005,072",Midwest,
3,Los Angeles,California,"2,966,850",West,
4,Philadelphia,Pennsylvania,"1,688,210",Northeast,
5,Houston,Texas,"1,595,138",South,
6,Detroit,Michigan,"1,203,339",Midwest,
7,Dallas,Texas,"904,078",South,
8,San Diego,California,"875,538",West,
9,Phoenix,Arizona,"789,704",West,
10,Baltimore,Maryland,"786,775",South,
11,San Antonio,Texas,"785,880",South,
12,Indianapolis,Indiana,"700,807",Midwest,
13,San Francisco,California,"678,974",West,
14,Memphis,Tennessee,"646,356",South,
15,Washington,District of Columbia,"638,333",South,
16,Milwaukee,Wisconsin,"636,212",Midwest,
17,San Jose,California,"629,442",West,
18,Cleveland,Ohio,"573,822",Midwest,
19,Columbus,Ohio,"564,871",Midwest,
20,Boston,Massachusetts,"562,994",Northeast,
21,New Orleans,Louisiana,"557,515",South,
22,Jacksonville,Florida,"540,920",South,
23,Seattle,Washington,"493,846",West,
24,Denver,Colorado,"492,365",West,
25,Nashville-Davidson,Tennessee,"455,651",South,
26,St. Louis,Missouri,"453,085",Midwest,
27,Kansas City,Missouri,"448,159",Midwest,
28,El Paso,Texas,"425,259",South,
29,Atlanta,Georgia,"425,022",South,
30,Pittsburgh,Pennsylvania,"423,938",Northeast,
31,Oklahoma City,Oklahoma,"403,213",South,
32,Cincinnati,Ohio,"385,457",Midwest,
33,Fort Worth,Texas,"385,164",South,
34,Minneapolis,Minnesota,"370,951",Midwest,
35,Portland,Oregon,"366,383",West,
36,Honolulu,Hawaii,"365,048",West,
37,Long Beach,California,"361,334",West,
38,Tulsa,Oklahoma,"360,919",South,
39,Buffalo,New York,"357,870",Northeast,
40,Toledo,Ohio,"354,635",Midwest,
41,Miami,Florida,"346,865",South,
42,Austin,Texas,"345,496",South,
43,Oakland,California,"339,337",West,
44,Albuquerque,New Mexico,"331,767",West,
45,Tucson,Arizona,"330,537",West,
46,Newark,New Jersey,"329,248",Northeast,
47,Charlotte,North Carolina,"314,447",South,
48,Omaha,Nebraska,"314,255",Midwest,
49,Louisville,Kentucky,"298,451",South,
50,Birmingham,Alabama,"284,413",South,
51,Wichita,Kansas,"279,272",Midwest,
52,Sacramento,California,"275,741",West,
53,Tampa,Florida,"271,523",South,
54,Saint Paul,Minnesota,"270,230",Midwest,
55,Norfolk,Virginia,"266,979",South,
56,Virginia Beach,Virginia,"262,199",South,
57,Rochester,New York,"241,741",Northeast,
58,St. Petersburg,Florida,"238,647",South,
59,Akron,Ohio,"237,177",Midwest,
60,Corpus Christi,Texas,"231,999",South,
61,Jersey City,New Jersey,"223,532",Northeast,
62,Baton Rouge,Louisiana,"219,419",South,
63,Anaheim,California,"219,311",West,
64,Richmond,Virginia,"219,214",South,
65,Fresno,California,"218,202",West,
66,Colorado Springs,Colorado,"215,150",West,
67,Shreveport,Louisiana,"205,820",South,
68,Lexington-Fayette,Kentucky,"204,165",South,
69,Santa Ana,California,"203,713",West,
70,Dayton,Ohio,"203,371",Midwest,
71,Jackson,Mississippi,"202,895",South,
72,Mobile,Alabama,"200,452",South,
73,Yonkers,New York,"195,351",Northeast,
74,Des Moines,Iowa,"191,003",Midwest,
75,Grand Rapids,Michigan,"181,843",Midwest,
76,Montgomery,Alabama,"177,857",South,
77,Knoxville,Tennessee,"175,030",South,
78,Anchorage,Alaska,"174,431",West,
79,Lubbock,Texas,"173,979",South,
80,Fort Wayne,Indiana,"172,196",Midwest,
81,Lincoln,Nebraska,"171,932",Midwest,
82,Spokane,Washington,"171,300",West,
83,Riverside,California,"170,876",West,
84,Madison,Wisconsin,"170,616",Midwest,
85,Huntington Beach,California,"170,505",West,
86,Syracuse,New York,"170,105",Northeast,
87,Chattanooga,Tennessee,"169,565",South,
88,Columbus,Georgia,"169,441",South,
89,Las Vegas,Nevada,"164,674",West,
90,Metairie,Louisiana,"164,160",South,
91,Salt Lake City,Utah,"163,033",West,
92,Worcester,Massachusetts,"161,799",Northeast,
93,Warren,Michigan,"161,134",Midwest,
94,Kansas City,Kansas,"161,087",Midwest,
95,Arlington,Texas,"160,113",South,
96,Flint,Michigan,"159,611",Midwest,
97,Aurora,Colorado,"158,588",West,
98,Tacoma,Washington,"158,501",West,
99,Little Rock,Arkansas,"158,461",South,
100,Providence,Rhode Island,"156,804",Northeast,
