Rank,City,State,Population [2],Region (2016) [3],
1,New York,New York,"7,894,862",Northeast,
2,Chicago,Illinois,"3,366,957",Midwest,
3,Los Angeles,California,"2,816,061",West,
4,Philadelphia,Pennsylvania,"1,948,609",Northeast,
5,Detroit,Michigan,"1,511,482",Midwest,
6,Houston,Texas,"1,232,802",South,
7,Baltimore,Maryland,"905,759",South,
8,Dallas,Texas,"844,401",South,
9,Washington,District of Columbia,"756,510",South,
10,Cleveland,Ohio,"750,903",Midwest,
11,Indianapolis,Indiana,"744,624",Midwest,
12,Milwaukee,Wisconsin,"717,099",Midwest,
13,San Francisco,California,"715,674",West,
14,San Diego,California,"696,769",West,
15,San Antonio,Texas,"654,153",South,
16,Boston,Massachusetts,"641,071",Northeast,
17,Memphis,Tennessee,"623,530",South,
18,St. Louis,Missouri,"622,236",Midwest,
19,New Orleans,Louisiana,"593,471",South,
20,Phoenix,Arizona,"581,562",West,
21,Columbus,Ohio,"539,677",Midwest,
22,Seattle,Washington,"530,831",West,
23,Jacksonville,Florida,"528,865",South,
24,Pittsburgh,Pennsylvania,"520,117",Northeast,
25,Denver,Colorado,"514,678",West,
26,Kansas City,Missouri,"507,087",Midwest,
27,Atlanta,Georgia,"496,973",South,
28,Buffalo,New York,"462,768",Northeast,
29,Cincinnati,Ohio,"452,524",Midwest,
30,Nashville-Davidson,Tennessee,"448,003",South,
31,San Jose,California,"445,779",West,
32,Minneapolis,Minnesota,"434,400",Midwest,
33,Fort Worth,Texas,"393,476",South,
34,Toledo,Ohio,"383,818",Midwest,
35,Portland,Oregon,"382,619",West,
36,Newark,New Jersey,"382,417",Northeast,
37,Oklahoma City,Oklahoma,"366,481",South,
38,Oakland,California,"361,561",West,
39,Louisville,Kentucky,"361,472",South,
40,Long Beach,California,"358,633",West,
41,Omaha,Nebraska,"347,328",Midwest,
42,Miami,Florida,"334,859",South,
43,Tulsa,Oklahoma,"331,638",South,
44,Honolulu,Hawaii,"324,871",West,
45,El Paso,Texas,"322,261",South,
46,Saint Paul,Minnesota,"309,980",Midwest,
47,Norfolk,Virginia,"307,951",South,
48,Birmingham,Alabama,"300,910",South,
49,Rochester,New York,"296,233",Northeast,
50,Tampa,Florida,"277,767",South,
51,Wichita,Kansas,"276,554",Midwest,
52,Akron,Ohio,"275,425",Midwest,
53,Tucson,Arizona,"262,933",West,
54,Jersey City,New Jersey,"260,545",Northeast,
55,Sacramento,California,"254,413",West,
56,Austin,Texas,"251,808",South,
57,Richmond,Virginia,"249,621",South,
58,Albuquerque,New Mexico,"243,751",West,
59,Dayton,Ohio,"243,601",Midwest,
60,Charlotte,North Carolina,"241,178",South,
61,St. Petersburg,Florida,"216,232",South,
62,Corpus Christi,Texas,"204,525",South,
63,Yonkers,New York,"204,297",Northeast,
64,Des Moines,Iowa,"200,587",Midwest,
65,Grand Rapids,Michigan,"197,649",Midwest,
66,Syracuse,New York,"197,208",Northeast,
67,Flint,Michigan,"193,317",Midwest,
68,Mobile,Alabama,"190,026",South,
69,Shreveport,Louisiana,"182,064",South,
70,Warren,Michigan,"179,260",Midwest,
71,Providence,Rhode Island,"179,213",Northeast,
72,Fort Wayne,Indiana,"177,671",Midwest,
73,Worcester,Massachusetts,"176,572",Northeast,
74,Salt Lake City,Utah,"175,885",West,
75,Gary,Indiana,"175,415",Midwest,
76,Knoxville,Tennessee,"174,587",South,
77,Arlington,Virginia,"174,284",South,
78,Madison,Wisconsin,"173,258",Midwest,
79,Virginia Beach,Virginia,"172,106",South,
80,Spokane,Washington,"170,516",West,
81,Kansas City,Kansas,"168,213",Midwest,
82,Anaheim,California,"166,701",West,
83,Fresno,California,"165,972",West,
84,Baton Rouge,Louisiana,"165,963",South,
85,Springfield,Massachusetts,"163,905",Northeast,
86,Hartford,Connecticut,"158,017",Northeast,
87,Santa Ana,California,"156,601",West,
88,Bridgeport,Connecticut,"156,542",Northeast,
89,Tacoma,Washington,"154,581",West,
90,Columbus,Georgia,"154,168",South,
91,Jackson,Mississippi,"153,968",South,
92,Lincoln,Nebraska,"149,518",Midwest,
93,Lubbock,Texas,"149,101",South,
94,Rockford,Illinois,"147,370",Midwest,
95,Paterson,New Jersey,"144,824",Northeast,
96,Greensboro,North Carolina,"144,076",South,
97,Riverside,California,"140,089",West,
98,Youngstown,Ohio,"139,788",Midwest,
99,Fort Lauderdale,Florida,"139,590",South,
100,Evansville,Indiana,"138,764",Midwest,
