Rank,City,State,Population [2],Region (2016) [3],
1,New York,New York,"5,620,048",Northeast,
2,Chicago,Illinois,"2,701,705",Midwest,
3,Philadelphia,Pennsylvania,"1,823,779",Northeast,
4,Detroit,Michigan,"993,078",Midwest,
5,Cleveland,Ohio,"796,841",Midwest,
6,St. Louis,Missouri,"772,897",Midwest,
7,Boston,Massachusetts,"748,060",Northeast,
8,Baltimore,Maryland,"733,826",South,
9,Pittsburgh,Pennsylvania,"588,343",Northeast,
10,Los Angeles,California,"576,673",West,
11,Buffalo,New York,"506,775",Northeast,
12,San Francisco,California,"506,676",West,
13,Milwaukee,Wisconsin,"457,147",Midwest,
14,Washington,District of Columbia,"437,571",South,
15,Newark,New Jersey,"414,524",Northeast,
16,Cincinnati,Ohio,"401,247",Midwest,
17,New Orleans,Louisiana,"387,219",South,
18,Minneapolis,Minnesota,"380,582",Midwest,
19,Kansas City,Missouri,"324,410",Midwest,
20,Seattle,Washington,"315,312",West,
21,Indianapolis,Indiana,"314,194",Midwest,
22,Jersey City,New Jersey,"298,103",Northeast,
23,Rochester,New York,"295,750",Northeast,
24,Portland,Oregon,"258,288",West,
25,Denver,Colorado,"256,491",West,
26,Toledo,Ohio,"243,164",Midwest,
27,Providence,Rhode Island,"237,595",Northeast,
28,Columbus,Ohio,"237,031",Midwest,
29,Louisville,Kentucky,"234,891",South,
30,Saint Paul,Minnesota,"234,698",Midwest,
31,Oakland,California,"216,261",West,
32,Akron,Ohio,"208,435",Midwest,
33,Atlanta,Georgia,"200,616",South,
34,Omaha,Nebraska,"191,601",Midwest,
35,Worcester,Massachusetts,"179,754",Northeast,
36,Birmingham,Alabama,"178,806",South,
37,Syracuse,New York,"171,717",Northeast,
38,Richmond,Virginia,"171,667",South,
39,New Haven,Connecticut,"162,537",Northeast,
40,Memphis,Tennessee,"162,351",South,
41,San Antonio,Texas,"161,379",South,
42,Dallas,Texas,"158,976",South,
43,Dayton,Ohio,"152,559",Midwest,
44,Bridgeport,Connecticut,"143,555",Northeast,
45,Houston,Texas,"138,276",South,
46,Hartford,Connecticut,"138,036",Northeast,
47,Scranton,Pennsylvania,"137,783",Northeast,
48,Grand Rapids,Michigan,"137,634",Midwest,
49,Paterson,New Jersey,"135,875",Northeast,
50,Youngstown,Ohio,"132,358",Midwest,
51,Springfield,Massachusetts,"129,614",Northeast,
52,Des Moines,Iowa,"126,468",Midwest,
53,New Bedford,Massachusetts,"121,217",Northeast,
54,Fall River,Massachusetts,"120,485",Northeast,
55,Trenton,New Jersey,"119,289",Northeast,
56,Nashville,Tennessee,"118,342",South,
57,Salt Lake City,Utah,"118,110",West,
58,Camden,New Jersey,"116,309",Northeast,
59,Norfolk,Virginia,"115,777",South,
60,Albany,New York,"113,344",Northeast,
61,Lowell,Massachusetts,"112,759",Northeast,
62,Wilmington,Delaware,"110,168",South,
63,Cambridge,Massachusetts,"109,694",Northeast,
64,Reading,Pennsylvania,"107,784",Northeast,
65,Fort Worth,Texas,"106,482",South,
66,Spokane,Washington,"104,437",West,
67,Kansas City,Kansas,"101,177",Midwest,
68,Yonkers,New York,"100,176",Northeast,
69,Lynn,Massachusetts,"99,148",Northeast,
70,Duluth,Minnesota,"98,917",Midwest,
71,Tacoma,Washington,"96,965",West,
72,Elizabeth,New Jersey,"95,783",Northeast,
73,Lawrence,Massachusetts,"94,270",Northeast,
74,Utica,New York,"94,156",Northeast,
75,Erie,Pennsylvania,"93,372",Northeast,
76,Somerville,Massachusetts,"93,091",Northeast,
77,Waterbury,Connecticut,"91,715",Northeast,
78,Flint,Michigan,"91,599",Midwest,
79,Jacksonville,Florida,"91,558",South,
80,Oklahoma City,Oklahoma,"91,295",South,
81,Schenectady,New York,"88,723",Northeast,
82,Canton,Ohio,"87,091",Midwest,
83,Fort Wayne,Indiana,"86,549",Midwest,
84,Evansville,Indiana,"85,264",Midwest,
85,Savannah,Georgia,"83,252",South,
86,Manchester,New Hampshire,"78,384",Northeast,
87,St. Joseph,Missouri,"77,939",Midwest,
88,Knoxville,Tennessee,"77,818",South,
89,El Paso,Texas,"77,560",South,
90,Bayonne,New Jersey,"76,754",Northeast,
91,Peoria,Illinois,"76,121",Midwest,
92,Harrisburg,Pennsylvania,"75,917",Northeast,
93,San Diego,California,"74,683",West,
94,Wilkes-Barre,Pennsylvania,"73,833",Northeast,
95,Allentown,Pennsylvania,"73,502",Northeast,
96,Wichita,Kansas,"72,217",Midwest,
97,Tulsa,Oklahoma,"72,075",South,
98,Troy,New York,"71,996",Northeast,
99,Sioux City,Iowa,"71,227",Midwest,
100,South Bend,Indiana,"70,983",Midwest,
