Rank,City,State,Population [7],Region (2016) [8],
1,New York,New York,"813,669",Northeast,
2,Philadelphia,Pennsylvania,"565,529",Northeast,
3,Brooklyn,New York,"266,661",Northeast,
4,Baltimore,Maryland,"212,418",South,
5,Boston,Massachusetts,"177,840",Northeast,
6,New Orleans,Louisiana,"168,675",South,
7,Cincinnati,Ohio,"161,044",Midwest,
8,St. Louis,Missouri,"160,773",Midwest,
9,Chicago,Illinois,"112,172",Midwest,
10,Buffalo,New York,"81,129",Northeast,
11,Newark,New Jersey,"71,941",Northeast,
12,Louisville,Kentucky,"68,033",South,
13,Albany,New York,"62,367",Northeast,
14,Washington,District of Columbia,"61,122",South,
15,San Francisco,California,"56,802",West,
16,Providence,Rhode Island,"50,666",Northeast,
17,Pittsburgh,Pennsylvania,"49,221",Northeast,
18,Rochester,New York,"48,204",Northeast,
19,Detroit,Michigan,"45,619",Midwest,
20,Milwaukee,Wisconsin,"45,246",Midwest,
21,Cleveland,Ohio,"43,417",Midwest,
22,Charleston,South Carolina,"40,522",South,
23,New Haven,Connecticut,"39,267",Northeast,
24,Troy,New York,"39,235",Northeast,
25,Richmond,Virginia,"37,910",South,
26,Lowell,Massachusetts,"36,827",Northeast,
27,Mobile,Alabama,"29,258",South,
28,Jersey City,New Jersey,"29,226",Northeast,
29,Allegheny,Pennsylvania,"28,702",Northeast,
30,Syracuse,New York,"28,119",Northeast,
31,Hartford,Connecticut,"26,917",Northeast,
32,Portland,Maine,"26,341",Northeast,
33,Cambridge,Massachusetts,"26,060",Northeast,
34,Roxbury,Massachusetts,"25,137",Northeast,
35,Charlestown,Massachusetts,"25,065",Northeast,
36,Worcester,Massachusetts,"24,960",Northeast,
37,Reading,Pennsylvania,"23,162",Northeast,
38,Memphis,Tennessee,"22,623",South,
39,Utica,New York,"22,529",Northeast,
40,New Bedford,Massachusetts,"22,300",Northeast,
41,Savannah,Georgia,"22,292",South,
42,Salem,Massachusetts,"22,252",Northeast,
43,Wilmington,Delaware,"21,258",South,
44,Manchester,New Hampshire,"20,107",Northeast,
45,Dayton,Ohio,"20,081",Midwest,
46,Paterson,New Jersey,"19,586",Northeast,
47,Lynn,Massachusetts,"19,083",Northeast,
48,Indianapolis,Indiana,"18,611",Midwest,
49,Columbus,Ohio,"18,554",Midwest,
50,Petersburg,Virginia,"18,266",South,
51,Lawrence,Massachusetts,"17,639",Northeast,
52,Lancaster,Pennsylvania,"17,603",Northeast,
53,Trenton,New Jersey,"17,228",Northeast,
54,Nashville,Tennessee,"16,988",South,
55,Oswego,New York,"16,816",Northeast,
56,Covington,Kentucky,"16,471",South,
57,Bangor,Maine,"16,407",Northeast,
58,Taunton,Massachusetts,"15,376",Northeast,
59,Springfield,Massachusetts,"15,199",Northeast,
60,Poughkeepsie,New York,"14,726",Northeast,
61,Norfolk,Virginia,"14,620",South,
62,Camden,New Jersey,"14,358",Northeast,
63,Wheeling,Virginia,"14,083",South,
64,Norwich,Connecticut,"14,048",Northeast,
65,Peoria,Illinois,"14,045",Midwest,
66,Fall River,Massachusetts,"14,026",Northeast,
67,Sacramento,California,"13,785",West,
68,Toledo,Ohio,"13,768",Midwest,
69,Quincy,Illinois,"13,718",Midwest,
70,Harrisburg,Pennsylvania,"13,405",Northeast,
71,Newburyport,Massachusetts,"13,401",Northeast,
72,Chelsea,Massachusetts,"13,395",Northeast,
73,Dubuque,Iowa,"13,000",Midwest,
74,Alexandria,Virginia,"12,652",South,
75,New Albany,Indiana,"12,647",Midwest,
76,Newburgh,New York,"12,578",Northeast,
77,Augusta,Georgia,"12,493",South,
78,Bridgeport,Connecticut,"12,106",Northeast,
79,North Providence,Rhode Island,"11,818",Northeast,
80,Elizabeth,New Jersey,"11,567",Northeast,
81,Evansville,Indiana,"11,484",Midwest,
82,Davenport,Iowa,"11,267",Midwest,
83,New Brunswick,New Jersey,"11,256",Northeast,
84,Auburn,New York,"10,986",Northeast,
85,Gloucester,Massachusetts,"10,904",Northeast,
86,Concord,New Hampshire,"10,896",Northeast,
87,Lockport,New York,"10,871",Northeast,
88,Newport,Rhode Island,"10,508",Northeast,
89,Saint Paul,Minnesota,"10,401",Midwest,
90,New London,Connecticut,"10,115",Northeast,
91,Nashua,New Hampshire,"10,065",Northeast,
92,Newport,Kentucky,"10,046",South,
93,Waterbury,Connecticut,"10,004",Northeast,
94,Haverhill,Massachusetts,"9,995",Northeast,
95,Dorchester,Massachusetts,"9,769",Northeast,
96,Hoboken,New Jersey,"9,662",Northeast,
97,Columbus,Georgia,"9,621",South,
98,Schenectady,New York,"9,579",Northeast,
99,Atlanta,Georgia,"9,554",South,
100,Wilmington,North Carolina,"9,552",South,
