Rank,City,State,Population [3],Region (2016) [4],
1,New York,New York,"6,930,446",Northeast,
2,Chicago,Illinois,"3,376,438",Midwest,
3,Philadelphia,Pennsylvania,"1,950,961",Northeast,
4,Detroit,Michigan,"1,568,662",Midwest,
5,Los Angeles,California,"1,238,048",West,
6,Cleveland,Ohio,"900,429",Midwest,
7,St. Louis,Missouri,"821,960",Midwest,
8,Baltimore,Maryland,"804,874",South,
9,Boston,Massachusetts,"781,188",Northeast,
10,Pittsburgh,Pennsylvania,"669,817",Northeast,
11,San Francisco,California,"634,394",West,
12,Milwaukee,Wisconsin,"578,249",Midwest,
13,Buffalo,New York,"573,076",Northeast,
14,Washington,District of Columbia,"486,869",South,
15,Minneapolis,Minnesota,"464,356",Midwest,
16,New Orleans,Louisiana,"458,762",South,
17,Cincinnati,Ohio,"451,160",Midwest,
18,Newark,New Jersey,"442,337",Northeast,
19,Kansas City,Missouri,"399,746",Midwest,
20,Seattle,Washington,"365,583",West,
21,Indianapolis,Indiana,"364,161",Midwest,
22,Rochester,New York,"328,132",Northeast,
23,Jersey City,New Jersey,"316,715",Northeast,
24,Louisville,Kentucky,"307,745",South,
25,Portland,Oregon,"301,815",West,
26,Houston,Texas,"292,352",South,
27,Toledo,Ohio,"290,718",Midwest,
28,Columbus,Ohio,"290,564",Midwest,
29,Denver,Colorado,"287,861",West,
30,Oakland,California,"284,063",West,
31,Saint Paul,Minnesota,"271,606",Midwest,
32,Atlanta,Georgia,"270,366",South,
33,Dallas,Texas,"260,475",South,
34,Birmingham,Alabama,"259,678",South,
35,Akron,Ohio,"255,040",Midwest,
36,Memphis,Tennessee,"253,143",South,
37,Providence,Rhode Island,"252,981",Northeast,
38,San Antonio,Texas,"231,542",South,
39,Omaha,Nebraska,"214,006",Midwest,
40,Syracuse,New York,"209,326",Northeast,
41,Dayton,Ohio,"200,982",Midwest,
42,Worcester,Massachusetts,"195,311",Northeast,
43,Oklahoma City,Oklahoma,"185,389",South,
44,Richmond,Virginia,"182,929",South,
45,Youngstown,Ohio,"170,002",Midwest,
46,Grand Rapids,Michigan,"168,592",Midwest,
47,Hartford,Connecticut,"164,072",Northeast,
48,Fort Worth,Texas,"163,447",South,
49,New Haven,Connecticut,"162,655",Northeast,
50,Flint,Michigan,"156,492",Midwest,
51,Nashville,Tennessee,"153,866",South,
52,Springfield,Massachusetts,"149,900",Northeast,
53,San Diego,California,"147,995",West,
54,Bridgeport,Connecticut,"146,716",Northeast,
55,Scranton,Pennsylvania,"143,433",Northeast,
56,Des Moines,Iowa,"142,559",Midwest,
57,Long Beach,California,"142,032",West,
58,Tulsa,Oklahoma,"141,258",South,
59,Salt Lake City,Utah,"140,267",West,
60,Paterson,New Jersey,"138,513",Northeast,
61,Yonkers,New York,"134,646",Northeast,
62,Norfolk,Virginia,"129,710",South,
63,Jacksonville,Florida,"129,549",South,
64,Albany,New York,"127,412",Northeast,
65,Trenton,New Jersey,"123,356",Northeast,
66,Kansas City,Kansas,"121,857",Midwest,
67,Chattanooga,Tennessee,"119,798",South,
68,Camden,New Jersey,"118,700",Northeast,
69,Erie,Pennsylvania,"115,967",Northeast,
70,Spokane,Washington,"115,514",West,
71,Fall River,Massachusetts,"115,274",Northeast,
72,Fort Wayne,Indiana,"114,946",Midwest,
73,Elizabeth,New Jersey,"114,589",Northeast,
74,Cambridge,Massachusetts,"113,643",Northeast,
75,New Bedford,Massachusetts,"112,597",Northeast,
76,Reading,Pennsylvania,"111,171",Northeast,
77,Wichita,Kansas,"111,110",Midwest,
78,Miami,Florida,"110,637",South,
79,Tacoma,Washington,"106,817",West,
80,Wilmington,Delaware,"106,597",South,
81,Knoxville,Tennessee,"105,802",South,
82,Peoria,Illinois,"104,969",Midwest,
83,Canton,Ohio,"104,906",Midwest,
84,South Bend,Indiana,"104,193",Midwest,
85,Somerville,Massachusetts,"103,908",Northeast,
86,El Paso,Texas,"102,421",South,
87,Lynn,Massachusetts,"102,320",Northeast,
88,Evansville,Indiana,"102,249",Midwest,
89,Utica,New York,"101,740",Northeast,
90,Duluth,Minnesota,"101,463",Midwest,
91,Tampa,Florida,"101,161",South,
92,Gary,Indiana,"100,426",Midwest,
93,Lowell,Massachusetts,"100,234",Northeast,
94,Waterbury,Connecticut,"99,902",Northeast,
95,Schenectady,New York,"95,692",Northeast,
96,Sacramento,California,"93,750",West,
97,Allentown,Pennsylvania,"92,563",Northeast,
98,Bayonne,New Jersey,"88,979",Northeast,
99,Wilkes-Barre,Pennsylvania,"86,626",Northeast,
100,Rockford,Illinois,"85,864",Midwest,
