Rank,City,State,Population [4],Region (2016) [5],
1,New York,New York,"3,437,202",Northeast,
2,Chicago,Illinois,"1,698,575",Midwest,
3,Philadelphia,Pennsylvania,"1,293,697",Northeast,
4,St. Louis,Missouri,"575,238",Midwest,
5,Boston,Massachusetts,"560,892",Northeast,
6,Baltimore,Maryland,"508,957",South,
7,Cleveland,Ohio,"391,768",Midwest,
8,Buffalo,New York,"352,387",Northeast,
9,San Francisco,California,"342,782",West,
10,Cincinnati,Ohio,"325,902",Midwest,
11,Pittsburgh,Pennsylvania,"321,616",Northeast,
12,New Orleans,Louisiana,"287,104",South,
13,Detroit,Michigan,"285,704",Midwest,
14,Milwaukee,Wisconsin,"285,315",Midwest,
15,Washington,District of Columbia,"278,718",South,
16,Newark,New Jersey,"246,070",Northeast,
17,Jersey City,New Jersey,"206,433",Northeast,
18,Louisville,Kentucky,"204,731",South,
19,Minneapolis,Minnesota,"202,718",Midwest,
20,Providence,Rhode Island,"175,597",Northeast,
21,Indianapolis,Indiana,"169,164",Midwest,
22,Kansas City,Missouri,"163,752",Midwest,
23,Saint Paul,Minnesota,"163,065",Midwest,
24,Rochester,New York,"162,608",Northeast,
25,Denver,Colorado,"133,859",West,
26,Toledo,Ohio,"131,822",Midwest,
27,Allegheny,Pennsylvania,"129,896",Northeast,
28,Columbus,Ohio,"125,560",Midwest,
29,Worcester,Massachusetts,"118,421",Northeast,
30,Syracuse,New York,"108,374",Northeast,
31,New Haven,Connecticut,"108,027",Northeast,
32,Paterson,New Jersey,"105,171",Northeast,
33,Fall River,Massachusetts,"104,863",Northeast,
34,St. Joseph,Missouri,"102,979",Midwest,
35,Omaha,Nebraska,"102,555",Midwest,
36,Los Angeles,California,"102,479",West,
37,Memphis,Tennessee,"102,320",South,
38,Scranton,Pennsylvania,"102,026",Northeast,
39,Lowell,Massachusetts,"94,969",Northeast,
40,Albany,New York,"94,151",Northeast,
41,Cambridge,Massachusetts,"91,886",Northeast,
42,Portland,Oregon,"90,426",West,
43,Atlanta,Georgia,"89,872",South,
44,Grand Rapids,Michigan,"87,565",Midwest,
45,Dayton,Ohio,"85,333",Midwest,
46,Richmond,Virginia,"85,050",South,
47,Nashville,Tennessee,"80,865",South,
48,Seattle,Washington,"80,671",West,
49,Hartford,Connecticut,"79,850",Northeast,
50,Reading,Pennsylvania,"78,961",Northeast,
51,Wilmington,Delaware,"76,508",South,
52,Camden,New Jersey,"75,935",Northeast,
53,Trenton,New Jersey,"73,307",Northeast,
54,Bridgeport,Connecticut,"70,996",Northeast,
55,Lynn,Massachusetts,"68,513",Northeast,
56,Oakland,California,"66,960",West,
57,Lawrence,Massachusetts,"62,559",Northeast,
58,New Bedford,Massachusetts,"62,442",Northeast,
59,Des Moines,Iowa,"62,139",Midwest,
60,Springfield,Massachusetts,"62,059",Northeast,
61,Somerville,Massachusetts,"61,643",Northeast,
62,Troy,New York,"60,651",Northeast,
63,Hoboken,New Jersey,"59,364",Northeast,
64,Evansville,Indiana,"59,007",Midwest,
65,Manchester,New Hampshire,"56,987",Northeast,
66,Utica,New York,"56,383",Northeast,
67,Peoria,Illinois,"56,100",Midwest,
68,Charleston,South Carolina,"55,807",South,
69,Savannah,Georgia,"54,244",South,
70,Salt Lake City,Utah,"53,531",West,
71,San Antonio,Texas,"53,321",South,
72,Duluth,Minnesota,"52,969",Midwest,
73,Erie,Pennsylvania,"52,733",Northeast,
74,Elizabeth,New Jersey,"52,130",Northeast,
75,Wilkes-Barre,Pennsylvania,"51,721",Northeast,
76,Kansas City,Kansas,"51,418",Midwest,
77,Harrisburg,Pennsylvania,"50,167",Northeast,
78,Portland,Maine,"50,145",Northeast,
79,Yonkers,New York,"47,931",Northeast,
80,Norfolk,Virginia,"46,624",South,
81,Waterbury,Connecticut,"45,859",Northeast,
82,Holyoke,Massachusetts,"45,712",Northeast,
83,Fort Wayne,Indiana,"45,115",Midwest,
84,Youngstown,Ohio,"44,885",Midwest,
85,Houston,Texas,"44,633",South,
86,Covington,Kentucky,"42,938",South,
87,Akron,Ohio,"42,728",Midwest,
88,Dallas,Texas,"42,638",South,
89,Saginaw,Michigan,"42,345",Midwest,
90,Lancaster,Pennsylvania,"41,459",Northeast,
91,Lincoln,Nebraska,"40,169",Midwest,
92,Brockton,Massachusetts,"40,063",Northeast,
93,Binghamton,New York,"39,647",Northeast,
94,Augusta,Georgia,"39,441",South,
95,Pawtucket,Rhode Island,"39,231",Northeast,
96,Altoona,Pennsylvania,"38,973",Northeast,
97,Wheeling,West Virginia,"38,878",South,
98,Mobile,Alabama,"38,469",South,
99,Birmingham,Alabama,"38,415",South,
100,Little Rock,Arkansas,"38,307",South,
