Rank,City,State,Population [11],Region (2016) [12],
1,New York,New York,"312,710",Northeast,
2,Baltimore,Maryland,"102,313",South,
3,New Orleans,Louisiana,"102,193",South,
4,Philadelphia,Pennsylvania,"93,665",Northeast,
5,Boston,Massachusetts,"93,383",Northeast,
6,Cincinnati,Ohio,"46,338",Midwest,
7,Brooklyn,New York,"36,233",Northeast,
8,Northern Liberties,Pennsylvania,"34,474",Northeast,
9,Albany,New York,"33,721",Northeast,
10,Charleston,South Carolina,"29,261",South,
11,Spring Garden,Pennsylvania,"27,849",Northeast,
12,Southwark,Pennsylvania,"27,548",Northeast,
13,Washington,District of Columbia,"23,364",South,
14,Providence,Rhode Island,"23,171",Northeast,
15,Kensington,Pennsylvania,"22,314",Northeast,
16,Louisville,Kentucky,"21,210",South,
17,Pittsburgh,Pennsylvania,"21,115",Northeast,
18,Lowell,Massachusetts,"20,796",Northeast,
19,Rochester,New York,"20,191",Northeast,
20,Richmond,Virginia,"20,153",South,
21,Troy,New York,"19,334",Northeast,
22,Buffalo,New York,"18,213",Northeast,
23,Newark,New Jersey,"17,290",Northeast,
24,St. Louis,Missouri,"16,469",Midwest,
25,Portland,Maine,"15,218",Northeast,
26,Salem,Massachusetts,"15,082",Northeast,
27,Moyamensing,Pennsylvania,"14,573",Northeast,
28,New Haven,Connecticut,"12,960",Northeast,
29,Utica,New York,"12,782",Northeast,
30,Mobile,Alabama,"12,672",South,
31,New Bedford,Massachusetts,"12,087",Northeast,
32,Charlestown,Massachusetts,"11,484",Northeast,
33,Savannah,Georgia,"11,214",South,
34,Petersburg,Virginia,"11,136",South,
35,Springfield,Massachusetts,"10,985",Northeast,
36,Norfolk,Virginia,"10,920",South,
37,Allegheny,Pennsylvania,"10,089",Northeast,
38,Hartford,Connecticut,"9,468",Northeast,
39,Lynn,Massachusetts,"9,367",Northeast,
40,Detroit,Michigan,"9,102",Midwest,
41,Roxbury,Massachusetts,"9,089",Northeast,
42,Nantucket,Massachusetts,"9,012",Northeast,
43,Bangor,Maine,"8,627",Northeast,
44,Alexandria,District of Columbia,"8,459",South,
45,Lancaster,Pennsylvania,"8,417",Northeast,
46,Reading,Pennsylvania,"8,410",Northeast,
47,Cambridge,Massachusetts,"8,409",Northeast,
48,Wilmington,Delaware,"8,367",South,
49,Newport,Rhode Island,"8,333",Northeast,
50,Portsmouth,New Hampshire,"7,887",Northeast,
51,Wheeling,Virginia,"7,885",South,
52,Taunton,Massachusetts,"7,645",Northeast,
53,Paterson,New Jersey,"7,596",Northeast,
54,Worcester,Massachusetts,"7,497",Northeast,
55,Georgetown,District of Columbia,"7,312",South,
56,Newburyport,Massachusetts,"7,161",Northeast,
57,Lexington,Kentucky,"6,997",South,
58,Nashville,Tennessee,"6,929",South,
59,Schenectady,New York,"6,784",Northeast,
60,Fall River,Massachusetts,"6,738",Northeast,
61,Warwick,Rhode Island,"6,726",Northeast,
62,Portsmouth,Virginia,"6,477",South,
63,Dover,New Hampshire,"6,458",Northeast,
